127.0.0.1, 2016-03-20 23:36:25, HEAD, /, HTTP/1.1, 303, 0.001607
127.0.0.1, 2016-03-20 23:36:29, HEAD, /welcome/default/index, HTTP/1.1, 200, 4.538693
127.0.0.1, 2016-03-20 23:36:40, GET, /, HTTP/1.1, 303, 0.001150
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.029981
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000811
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003066
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001541
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002855
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.001474
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001370
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.041960
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.001544
127.0.0.1, 2016-03-20 23:36:41, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.002211
127.0.0.1, 2016-03-20 23:36:42, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000754
127.0.0.1, 2016-03-20 23:36:48, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000661
127.0.0.1, 2016-03-20 23:36:48, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000589
127.0.0.1, 2016-03-20 23:36:52, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000427
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/default/site, HTTP/1.1, 303, 1.578923
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/default/index, HTTP/1.1, 200, 0.143984
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000615
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.003872
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.003675
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001076
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.006071
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.003752
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000520
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.005147
127.0.0.1, 2016-03-20 23:37:13, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000657
127.0.0.1, 2016-03-20 23:37:14, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.030610
127.0.0.1, 2016-03-20 23:37:14, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.030699
127.0.0.1, 2016-03-20 23:37:14, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.021696
127.0.0.1, 2016-03-20 23:37:14, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.023515
127.0.0.1, 2016-03-20 23:37:14, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.022035
127.0.0.1, 2016-03-20 23:37:14, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.024267
127.0.0.1, 2016-03-20 23:37:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000560
127.0.0.1, 2016-03-20 23:37:39, POST, /admin/default/index, HTTP/1.1, 303, 0.033738
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/default/site, HTTP/1.1, 200, 0.058542
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000534
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000557
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.005620
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.005407
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.005114
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000509
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.009631
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000665
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001490
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001602
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000674
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.002581
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.001890
127.0.0.1, 2016-03-20 23:37:39, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.003789
127.0.0.1, 2016-03-20 23:37:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000547
127.0.0.1, 2016-03-20 23:37:40, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.787453
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/default/errors/admin, HTTP/1.1, 200, 0.103958
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000611
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000586
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000655
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000540
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000603
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001248
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000567
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000557
127.0.0.1, 2016-03-20 23:38:00, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000509
127.0.0.1, 2016-03-20 23:38:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000474
127.0.0.1, 2016-03-20 23:38:48, GET, /admin/default/errors/admin, HTTP/1.1, 200, 0.039923
127.0.0.1, 2016-03-20 23:38:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000594
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/default/index, HTTP/1.1, 303, 0.008606
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/default/site, HTTP/1.1, 200, 0.054444
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001262
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000934
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.001627
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.001270
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000609
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.004107
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.003514
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000445
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000463
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.000637
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.001676
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.000716
127.0.0.1, 2016-03-20 23:38:51, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 304, 0.000352
127.0.0.1, 2016-03-20 23:38:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000588
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/default/site, HTTP/1.1, 200, 0.045124
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001115
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000573
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000517
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000594
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000593
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001460
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2016-03-20 23:38:55, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001624
127.0.0.1, 2016-03-20 23:38:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000569
